train_loss,val_loss,val_acc,gap_m
45.42801,48.066414,7.5,0.012247787136938604
32.707695,31.569757,6.25,0.013091073795435344
27.298513,29.022833,6.25,0.007451157772164216
26.439444,27.517178,6.875000000000001,0.0100662448379375
26.199045,27.153942,11.875,0.02915900089589223
26.127146,27.16452,10.625,0.04082630017884812
26.041275,27.526703,11.25,0.016458842197927398
26.038507,27.355824,16.25,0.06765091312238079
26.409735,29.905487,6.25,0.0060955873103143154
26.254202,27.507343,11.875,0.05691617870710417
26.047457,27.389587,8.125,0.01893205913242677
25.90171,27.105173,17.5,0.06214087496126918
26.47551,27.647324,7.5,0.01853398113129193
26.138735,27.279459,8.75,0.010645802892293346
26.058933,27.290854,11.25,0.023464105837155625
25.966331,27.14094,16.25,0.05437731508176476
25.944735,27.284199,14.374999999999998,0.026101614943537018
26.039394,27.460255,8.125,0.016633835664301395
26.073277,28.315338,11.25,0.03188518282927338
26.112768,27.181,13.750000000000002,0.04004676702370052
25.891874,27.230234,11.875,0.024786573968874185
25.873032,26.869823,18.125,0.08128815411983828
25.854366,27.302332,9.375,0.023603641790064283
25.877531,27.166388,18.75,0.06247651857703265
25.787107,27.128109,15.0,0.05729139088298771
25.746675,27.02271,19.375,0.08170159800986077
25.737186,27.329357,11.875,0.029549923364851252
25.617922,27.247614,19.375,0.07674828594704414
25.578005,26.881994,20.625,0.09456821973897662
25.51816,26.606125,24.375,0.11461269876174401
25.49135,27.010406,21.25,0.09363784011650761
25.359858,27.01669,19.375,0.07989990667672853
25.205374,26.74201,22.5,0.10871919758946608
25.167536,27.233175,21.875,0.1142965426346359
24.892221,29.119589,20.625,0.08288608391474823
24.787378,29.342966,19.375,0.07863164669785938
24.456995,27.51702,25.0,0.11744280618638657
24.105854,29.95875,21.875,0.07873647884976383
23.772272,28.87646,20.625,0.08887652538280381
23.388147,30.997559,20.625,0.10907035938327148
22.704256,29.698648,22.5,0.1053944768342205
21.907879,32.30559,23.125,0.08592368955215557
21.06288,35.64881,20.625,0.055835062854894715
20.149479,34.180077,14.374999999999998,0.056013178265889856
19.312649,36.882362,20.0,0.08684489377405097
18.377008,36.858395,18.75,0.0738035501635258
